"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"YFV","YAPI KREDİ PORTFÖY KİRA SERTİFİKALARI KATILIM FONU","Katılım Şemsiye Fonu","3,0233","10,5558","20,5341","27,0519","42,3718","144,8653","204,6356"
"OTJ","OYAK PORTFÖY KIYMETLİ MADENLER FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,2175","4,5082","27,3595","25,0058","42,3167","-","-"
"ZPC","ZİRAAT PORTFÖY FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","-1,3038","7,1044","20,4101","33,8140","42,1647","410,8387","628,8044"
"TLE","AURA PORTFÖY YABANCI BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","2,0901","4,1829","12,9524","20,3755","41,8910","326,3051","633,0730"
"YOT","YAPI KREDİ PORTFÖY BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","1,0802","9,0366","19,4500","25,5244","41,7885","161,0893","227,2170"
"FPE","FİBA PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ)FONU","Borçlanma Araçları Şemsiye Fonu","3,2957","7,0438","14,5153","19,4592","41,6043","361,7943","749,4679"
"YCY","İSTANBUL PORTFÖY KATILIM FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,1988","7,5966","21,3083","26,3724","41,5073","-","-"
"FJZ","FİBA PORTFÖY FIRTINA SERBEST (DÖVİZ) FON","Serbest Şemsiye Fonu","3,3949","6,8258","14,7427","20,5584","41,5015","364,9252","-"
"FNO","QNB FİNANS PORTFÖY BİRİNCİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-0,6319","6,5855","21,1687","30,5754","41,4465","256,6465","425,8712"
"MPS","AKTİF PORTFÖY KATILIM HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON)","Hisse Senedi Şemsiye Fonu","-6,4942","1,2960","10,7574","39,2980","41,4129","524,3838","1.662,3008"
"GTF","AZİMUT PYŞ BİRİNCİ BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","2,9626","9,6899","20,9359","27,0483","41,3301","128,9156","207,6961"
"IAT","İŞ PORTFÖY KİRA SERTİFİKALARI KATILIM (TL) FONU","Katılım Şemsiye Fonu","3,2395","11,1816","21,8058","26,9828","41,3188","120,9818","173,9433"
"GPA","GARANTİ PORTFÖY EUROBOND BORÇLANMA ARAÇLARI (DÖVİZ) FONU","Borçlanma Araçları Şemsiye Fonu","3,4509","8,3539","15,8513","20,1940","41,2535","336,3943","638,8703"
"KSR","KUVEYT TÜRK PORTFÖY SÜRDÜRÜLEBİLİRLİK KATILIM FONU","Katılım Şemsiye Fonu","-1,5822","4,2060","14,4036","25,6827","41,0265","-","-"
"RPC","ROTA PORTFÖY İKLİM DEĞİŞİKLİĞİ ÇÖZÜMLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","-2,7442","-0,2894","18,7802","30,6234","40,9264","-","-"
"OFS","OYAK PORTFÖY BİRİNCİ FON SEPETİ FONU","Fon Sepeti Şemsiye Fonu","0,7338","5,8080","23,0105","28,4533","40,8839","284,4185","-"
"FUB","QNB FİNANS PORTFÖY EUROBOND (DÖVİZ) BORÇLANMA ARAÇLARI FONU","Borçlanma Araçları Şemsiye Fonu","3,1492","7,6634","16,1527","21,0784","40,8640","339,3460","652,6414"
